date,region,total_cases,flu,covid,malaria,dengue,typhoid,pneumonia,cold
2023-01-01,North,69,7,2,6,1,1,4,10
2023-01-01,South,83,9,8,18,3,0,3,9
2023-01-01,East,78,3,4,1,0,2,4,14
2023-01-01,West,84,8,4,16,4,2,11,0
2023-01-01,Central,76,7,2,7,2,1,2,11
2023-01-02,North,81,12,2,17,1,1,6,14
2023-01-02,South,65,6,7,13,6,5,3,7
2023-01-02,East,69,2,6,6,0,7,3,11
2023-01-02,West,103,5,3,10,3,1,7,0
2023-01-02,Central,78,3,1,1,2,4,2,15
2023-01-03,North,89,8,3,14,1,0,4,19
2023-01-03,South,97,5,10,14,6,1,1,4
2023-01-03,East,76,2,6,3,2,6,5,8
2023-01-03,West,66,13,3,16,1,1,9,0
2023-01-03,Central,93,8,2,5,0,5,1,21
2023-01-04,North,71,7,1,15,2,2,4,11
2023-01-04,South,111,8,10,12,4,2,3,16
2023-01-04,East,73,2,5,1,0,3,8,14
2023-01-04,West,77,7,4,14,2,0,8,0
2023-01-04,Central,83,5,6,6,4,6,0,12
2023-01-05,North,73,7,6,13,0,0,0,9
2023-01-05,South,74,2,6,10,6,1,0,7
2023-01-05,East,76,1,2,3,0,7,10,11
2023-01-05,West,70,12,10,8,1,3,8,0
2023-01-05,Central,76,8,0,7,3,6,0,12
2023-01-06,North,77,11,4,10,0,0,3,8
2023-01-06,South,92,5,9,13,7,2,3,8
2023-01-06,East,67,3,2,2,0,10,2,11
2023-01-06,West,73,11,5,7,1,3,10,0
2023-01-06,Central,66,13,3,7,0,5,1,18
2023-01-07,North,81,14,8,12,0,0,0,13
2023-01-07,South,84,5,7,12,10,2,2,11
2023-01-07,East,57,2,3,3,0,5,5,12
2023-01-07,West,86,7,6,5,3,0,6,2
2023-01-07,Central,76,9,2,3,0,7,6,12
2023-01-08,North,64,10,6,14,1,0,0,12
2023-01-08,South,78,1,5,14,5,0,3,9
2023-01-08,East,71,0,7,9,0,4,6,12
2023-01-08,West,77,8,3,7,4,0,5,2
2023-01-08,Central,69,10,7,4,0,4,0,10
2023-01-09,North,66,5,7,10,0,0,0,17
2023-01-09,South,116,6,7,15,7,0,0,6
2023-01-09,East,75,1,5,7,1,3,5,8
2023-01-09,West,68,11,7,7,4,0,12,1
2023-01-09,Central,81,8,7,8,2,1,1,9
2023-01-10,North,90,8,9,13,1,0,3,9
2023-01-10,South,74,9,6,6,3,2,5,9
2023-01-10,East,74,2,5,3,0,6,6,6
2023-01-10,West,70,10,1,4,5,0,5,1
2023-01-10,Central,85,12,4,2,0,3,0,15
2023-01-11,North,83,8,6,15,1,0,2,12
2023-01-11,South,63,10,7,9,3,2,4,9
2023-01-11,East,60,1,4,4,1,4,5,14
2023-01-11,West,88,9,5,12,1,0,11,3
2023-01-11,Central,76,8,5,2,1,3,0,7
2023-01-12,North,77,4,5,18,0,0,2,7
2023-01-12,South,86,4,8,8,7,3,1,9
2023-01-12,East,66,2,5,3,0,5,3,8
2023-01-12,West,76,11,6,8,1,1,5,1
2023-01-12,Central,79,3,3,1,0,3,0,12
