date,product_name,qty,price,total_revenue
2023-01-01,Oseltamivir 75mg,10,12.0,120.0
2023-01-01,Paracetamol 500mg,46,1.5,69.0
2023-01-01,Cough Syrup,19,3.0,57.0
2023-01-01,Ibuprofen 200mg,24,1.0,24.0
2023-01-01,Artemether IV,23,15.0,345.0
2023-01-01,Quinine 500mg,17,8.0,136.0
2023-01-01,Platelet Support,13,25.0,325.0
2023-01-01,Vitamin C,10,0.8,8.0
2023-01-01,Amoxicillin 250mg,37,4.0,148.0
2023-01-01,Chloramphenicol,8,6.0,48.0
2023-01-01,Ciprofloxacin 500mg,23,5.5,126.5
2023-01-01,Aspirin 325mg,2,0.8,1.6
2023-01-01,Vitamin B Complex,3,2.5,7.5
2023-01-02,Oseltamivir 75mg,17,12.0,204.0
2023-01-02,Paracetamol 500mg,72,1.5,108.0
2023-01-02,Cough Syrup,25,3.0,75.0
2023-01-02,Ibuprofen 200mg,50,1.0,50.0
2023-01-02,Vitamin C,12,0.8,9.600000000000001
2023-01-02,Artemether IV,17,15.0,255.0
2023-01-02,Quinine 500mg,15,8.0,120.0
2023-01-02,Platelet Support,10,25.0,250.0
2023-01-02,Amoxicillin 250mg,20,4.0,80.0
2023-01-02,Chloramphenicol,8,6.0,48.0
2023-01-02,Ciprofloxacin 500mg,21,5.5,115.5
2023-01-02,Aspirin 325mg,6,0.8,4.800000000000001
2023-01-02,Vitamin B Complex,2,2.5,5.0
2023-01-03,Oseltamivir 75mg,19,12.0,228.0
2023-01-03,Paracetamol 500mg,54,1.5,81.0
2023-01-03,Cough Syrup,36,3.0,108.0
2023-01-03,Ibuprofen 200mg,35,1.0,35.0
2023-01-03,Vitamin C,18,0.8,14.4
2023-01-03,Artemether IV,15,15.0,225.0
2023-01-03,Quinine 500mg,12,8.0,96.0
2023-01-03,Platelet Support,9,25.0,225.0
2023-01-03,Amoxicillin 250mg,18,4.0,72.0
2023-01-03,Chloramphenicol,7,6.0,42.0
2023-01-03,Ciprofloxacin 500mg,25,5.5,137.5
2023-01-03,Aspirin 325mg,3,0.8,2.4000000000000004
2023-01-03,Vitamin B Complex,2,2.5,5.0
2023-01-04,Oseltamivir 75mg,17,12.0,204.0
2023-01-04,Paracetamol 500mg,67,1.5,100.5
2023-01-04,Cough Syrup,32,3.0,96.0
2023-01-04,Ibuprofen 200mg,41,1.0,41.0
2023-01-04,Vitamin C,15,0.8,12.0
2023-01-04,Artemether IV,12,15.0,180.0
2023-01-04,Quinine 500mg,14,8.0,112.0
2023-01-04,Platelet Support,13,25.0,325.0
2023-01-04,Amoxicillin 250mg,16,4.0,64.0
2023-01-04,Chloramphenicol,14,6.0,84.0
2023-01-04,Ciprofloxacin 500mg,22,5.5,121.0
2023-01-04,Aspirin 325mg,4,0.8,3.2
2023-01-04,Vitamin B Complex,3,2.5,7.5
2023-01-05,Oseltamivir 75mg,20,12.0,240.0
2023-01-05,Paracetamol 500mg,62,1.5,93.0
2023-01-05,Cough Syrup,40,3.0,120.0
2023-01-05,Ibuprofen 200mg,30,1.0,30.0
2023-01-05,Vitamin C,27,0.8,21.6
2023-01-05,Artemether IV,11,15.0,165.0
2023-01-05,Quinine 500mg,7,8.0,56.0
2023-01-05,Platelet Support,23,25.0,575.0
2023-01-05,Amoxicillin 250mg,22,4.0,88.0
2023-01-05,Chloramphenicol,11,6.0,66.0
2023-01-05,Ciprofloxacin 500mg,24,5.5,132.0
2023-01-05,Aspirin 325mg,2,0.8,1.6
2023-01-06,Oseltamivir 75mg,14,12.0,168.0
2023-01-06,Paracetamol 500mg,54,1.5,81.0
2023-01-06,Cough Syrup,39,3.0,117.0
2023-01-06,Ibuprofen 200mg,44,1.0,44.0
2023-01-06,Vitamin C,29,0.8,23.200000000000003
2023-01-06,Artemether IV,10,15.0,150.0
2023-01-06,Quinine 500mg,17,8.0,136.0
2023-01-06,Platelet Support,14,25.0,350.0
2023-01-06,Amoxicillin 250mg,15,4.0,60.0
2023-01-06,Chloramphenicol,10,6.0,60.0
2023-01-06,Ciprofloxacin 500mg,19,5.5,104.5
2023-01-06,Aspirin 325mg,1,0.8,0.8
2023-01-06,Vitamin B Complex,2,2.5,5.0
2023-01-07,Oseltamivir 75mg,16,12.0,192.0
2023-01-07,Paracetamol 500mg,51,1.5,76.5
2023-01-07,Cough Syrup,32,3.0,96.0
2023-01-07,Ibuprofen 200mg,32,1.0,32.0
2023-01-07,Vitamin C,19,0.8,15.200000000000001
